100	671
200	1511
300	2540
400	3768
500	4921
600	5878
700	7219
800	8069
900	9622
1000	10676
1100	12456
1200	13783
1300	14694
1400	16225
1500	17307
1600	19343
1700	20173
1800	21843
1900	23719
2000	25143
2100	25802
2200	27852
2300	28917
2400	30075
2500	32044
2600	34339
2700	34956
2800	37165
2900	38812
3000	39582
